16,0,2.2925,5.6966,8.2649,3.0126
16,0,2.8893,5.807,8.6973,3.2076
16,0,3.5179,5.4726,7.4596,2.6531
16,0,3.2809,5.5669,7.873,2.8184
16,0,2.6301,5.7551,8.1647,2.7995
16,0,3.7854,5.6783,8.0501,2.8028
16,0,1.9129,5.6433,8.1337,2.921
16,0,2.7362,5.624,7.5494,2.5505
16,0,3.024,5.7528,8.5261,3.1267
16,0,3.6585,5.7709,8.1885,2.7748
16,0,3.7613,5.6044,7.801,2.7635
16,0,2.5397,5.7082,8.3546,3.0406
16,0,2.9736,5.5038,7.9275,2.9762
16,0,2.8971,5.7231,7.9935,2.5871
16,0,5.0451,5.5243,7.2569,2.3514
16,0,2.3879,5.4954,7.6861,2.7669
16,0,5.5227,5.6637,8.1843,2.8649
16,0,4.808,5.6592,8.3093,3.1445
16,0,3.0897,5.6411,7.6265,2.5628
16,0,4.9117,5.5967,7.9703,2.8973
16,0,3.1805,5.421,7.4547,2.7044
16,0,3.1825,5.5374,7.8422,2.8332
16,0,2.5365,5.4646,7.6185,2.7913
16,0,2.684,5.6406,8.1633,3.0492
16,0,3.3936,5.4598,7.9464,3.0449
16,0,4.8605,5.5876,7.8409,2.7778
16,0,4.6859,5.6925,8.0022,2.7057
16,0,3.0203,5.5259,7.7281,2.7855
16,0,2.6249,5.4776,7.4904,2.6631
16,0,5.932,5.806,8.4788,3.0329
16,0,2.9688,5.7338,8.5601,3.1642
16,0,4.1812,5.3866,7.3414,2.6175
16,0,4.1294,5.3053,7.0686,2.5267
16,0,3.0266,5.7419,8.1588,2.8487
16,0,4.7999,5.6667,8.17,2.958
16,0,2.661,5.7088,8.6801,3.2227
16,0,3.4446,5.5257,7.5578,2.6411
16,0,2.6997,5.8319,8.8831,3.224
16,0,3.0266,5.4888,7.8035,2.94
16,0,2.467,5.4342,7.361,2.5144
16,0,2.6062,5.5807,7.7277,2.7576
16,0,2.2975,5.5388,7.7249,2.7882
16,0,3.3471,5.5863,7.7359,2.6112
16,0,2.6229,5.4253,7.077,2.4079
16,0,3.1185,5.5633,7.3231,2.3793
16,0,4.5761,5.6096,7.6343,2.5804
16,0,3.5895,5.5831,7.9766,2.8602
16,0,3.1115,5.5495,7.9758,2.9285
16,0,4.6924,5.831,8.8169,3.212
16,0,4.5666,5.7098,8.087,2.797
16,0,3.3771,5.3724,6.7309,2.26
16,0,4.4757,5.3216,7.0985,2.5554
16,0,4.3788,5.8569,8.3485,2.8795
16,0,2.4124,5.5669,7.6002,2.5422
16,0,2.6356,5.67,8.1438,2.8517
16,0,4.562,5.6501,7.9119,2.7623
16,0,2.6435,5.7125,8.3351,3.03
16,0,3.7953,5.6704,8.2795,3.0904
16,0,3.9572,5.7146,8.4919,3.0877
16,0,3.8495,5.5397,7.8609,2.8898
16,0,4.1992,5.7037,8.1775,2.8942
16,0,4.0104,5.5234,7.421,2.5111
16,0,2.7075,5.5832,7.8575,2.7214
16,0,3.0432,5.235,6.8018,2.3855
16,0,6.3898,5.362,7.0743,2.471
16,0,2.9636,5.5945,8.1767,3.0667
16,0,4.0095,5.4368,6.9609,2.2277
16,0,3.6473,5.415,7.1125,2.4473
16,0,3.0976,5.7885,8.6403,3.1981
16,0,3.4966,5.586,7.647,2.6888
16,0,5.3581,5.7311,8.2368,2.9432
16,0,6.1945,5.4172,6.9638,2.2267
16,0,3.1031,5.6772,7.8753,2.6481
16,0,4.0644,5.4963,7.5633,2.623
16,0,3.9317,5.5811,8.0999,2.9969
16,0,3.3085,5.5434,7.7225,2.7214
16,0,2.4432,5.53,7.9157,2.9427
